hash,msg,author,lines_added,lines_deleted,files_modified,is_merge,author_experience,commit_day,commit_hour,subsystems_modified,total_complexity,ddm_unit_size,ddm_unit_count,ddm_unit_interfacing,is_bug
a0e7ee9d0d12370e8d2b5ae0a23b6e687e018d85,"New repository initialized by cvs2svn.

git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149564 13f79535-47bb-0310-9956-ffa450edef68",(no author),0,0,0,False,0,1,21,0,0,,,,0
5a2615650e104c0713407637d65ae0ce7c2b257a,"Initial revision


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149565 13f79535-47bb-0310-9956-ffa450edef68",Sam Ruby,1910,0,30,False,0,1,21,8,0,,,,0
749b4aaf7e922884dba4d01223742f83ecfe57fe,"- adding some additional libs that were part of the original lucene
  cvs. not sure about the javacc zip file being in our repository, i'm
  not sure the license agreement agreed upon with metamata/webgain applies
  with the transition to apache.
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149569 13f79535-47bb-0310-9956-ffa450edef68",Jason van Zyl,196,0,3,False,0,1,16,1,0,,,,0
bd3948c539ec1065db8b05b433ea55dbf844ff27,"Initial revision


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149570 13f79535-47bb-0310-9956-ffa450edef68",Jason van Zyl,16175,0,134,False,1,1,16,15,1481,0.5435978004713276,0.6620188531029065,0.8760801256873527,0
903b4b0178f8fbe8ce3fde8f80774527592db1ff,"- properties for the lucene build
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149574 13f79535-47bb-0310-9956-ffa450edef68",Jason van Zyl,38,0,1,False,2,1,16,1,0,,,,0
7fb01d68ac7381ff5d28ab2d064d5c88a2aefadc,"- build file for lucene, incorporates ted's work. i have only tried
  building the jar but i will keep testing. figured i would get
  everything into the repository.
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149575 13f79535-47bb-0310-9956-ffa450edef68",Jason van Zyl,352,46,1,False,3,1,16,1,0,,,,0
412a00a07db2b91cfd39d80a18f7c08224a6515c,"- adding ignore file
- removing velocity.log
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149576 13f79535-47bb-0310-9956-ffa450edef68",Jason van Zyl,56,57,3,False,4,1,16,1,0,,,,0
1a3dd53ada1bd479590459bf7d0d24887f202afa,"- a few stray pieces of documentation. ted you can put them where you like,
  i just wanted to make sure they were visible so they are put in the
  appropriate place.
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149577 13f79535-47bb-0310-9956-ffa450edef68",Jason van Zyl,302,0,2,False,5,1,16,1,0,,,,0
4e68f4be90f73dadb0bfcf20e4d0758511d939a9,"- getting the ""demo"" target to work.

  the build.properties is a bit of a mess. i'll get the test target(s)
  working than i'll clean it up.
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149578 13f79535-47bb-0310-9956-ffa450edef68",Jason van Zyl,12,6,2,False,6,1,17,1,0,,,,0
864293c622721bdc2f290929e005f46b32779599,"- fixes required to make the demo build. i missed some import statements.
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149579 13f79535-47bb-0310-9956-ffa450edef68",Jason van Zyl,38,31,9,False,7,1,17,3,64,,,,0
